Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"ZAGATTO, Vanessa Alves","JORENTE, Maria José Vicentini",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encuentro Internacional e Nacional de Catalogadores,2012
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encuentro Internacional e Nacional de Catalogadores,2012
"VITORINI, Érica Fernanda","MOREIRA, Walter",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,Seminário Nacional do Centro de Memória,2012
"DAL´EVEDOVE, Paula Regina","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","OLIVEIRA, Henry Poncio Cruz de","LIMA, Izabel França de",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Congresso Nacional de Bibliotecários, Arquivistas e Documentalistas",2012
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR,2012
"VALENTIM, Marta Lígia Pomim","GARCIA, Cristiane Luiza Salazar","JORGE, Carlos Francisco Bitencourt","SILVA, Elaine da da",,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"TOGNOLI, Natália Bolfarini  ","GUIMARÃES, José Augusto Chaves","TENNIS, Joseph T.",,,,,,,,,North American Symposium on Knowledge Organization – NASKO,2013
"TERRA, Ana Lúcia Silva  ","FUJITA, Mariângela Spotti Lopes","AGUSTIN LACRUZ, María del Carmen",,,,,,,,,Congreso ISKO España y Portugal,2015
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes","DAL´EVEDOVE, Paula Regina",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"SOUZA, Juliete Susann Ferreira de  ","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Workshop de Pesquisa em Ciência da Informação (WPCI),2013
"SOUZA, Francisco das Chagas de","GUIMARÃES, José Augusto Chaves",,,,,,,,,,Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR,2012
"SOUSA, Brisa Pozzi de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SOUSA, Brisa Pozzi de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e  Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"SILVA, Talita Cristina da","PULGARIN, Aura Marcela Mesa","SILVA, Mateus Henrique da","JORENTE, Maria José Vicentini",,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2015
"SILVA, Renata Eleuterio da","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"SILVA, Rafaela Carolina","CALDAS, Rosângela Formentini",,,,,,,,,,"Seminário Hispânico-Brasileiro de Pesquisa em Informação, Documentação e Sociedade",2015
"SILVA, Rafaela Carolina","CALDAS, Rosângela Formentini",,,,,,,,,,Encontro de Pesquisa em Informação e Mediação,2015
"SILVA, Marli Vitor","CASARIN, Helen de Castro Silva",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SILVA, Luiz Antônio Santana da","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encuentro Ibérico EDICIC,2013
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim","CERETTA SORIA, María Gladys",,,,,,,,,Seminário de Competência em Informação: cenários e tendências,2014
"SILVA, Andrieli Pachu da","REGO, Laura Maria dodo","GUIMARÃES, José Augusto Chaves","TOGNOLLI, Natália Bolfarini",,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2014
"SILVA, Anahi Rocha","JORENTE, Maria José Vicentini",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2015
"SEMIDÃO, Rafael Aparecido Moron","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encuentro Ibérico EDICIC,2011
"SEMIDÃO, Rafael Aparecido Moron","ALMEIDA, Carlos Cândido de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SIMIONATO, Ana Carolina","RODRIGUES, Fernando de Assis","ALENCAR, Cely Martins Santos de","FERREIRA, Jaider Andrade","SILVA, Renata Eleuterio da","SANT'ANA, Ricardo Cesar Gonçalves","ALVES, Rachel Cristina Vesu","RODAS, Cecílio Merlotti","LOPES, Rita de Cássia Cassiano","POTTKER, Luciana Maria Vieira",Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","JORENTE, Maria José Vicentini","PRADO, Ricardo Petruzza do",,,,,,,,,IASTED International Conference on Computers and Advanced Technology in Education (CATE),2011
"SANTOS, Miriam dos  ","CALDAS, Rosângela Formentini","REIS, Gislaine Kessia Teixeira",,,,,,,,,Congresso de Extensão Universitária da UNESP,2015
"SANTOS, Luciana Beatriz Piovezan dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"SANTOS, Luciana Beatriz Piovezan dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2011
"SANTOS, Derlei Alberto dos","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2011
"SANTOS, Cassia Dias","SOUZA, Juliete Susann Ferreira de","COELHO, Tatiane Martins","VALENTIM, Marta Lígia Pomim",,,,,,,,Seminário de Competência em Informação: cenários e tendências,2014
"SANTOS, Camila Araújo dos","CASARIN, Helen de Castro Silva",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"SANTOS, Amanda Sertori","CASARIN, Helen de Castro Silva","CONEGLIAN, André Luís Onório",,,,,,,,,Congreso Internacional de Información (IDICT),2012
"SANTOS, Amanda Sertori","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"SANTOS, Amanda Sertori","BIZELLO, Maria Leandra",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2015
"SANTOS, Amanda Sertori","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"ROSAS, Fábio Sampaio","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"RODRIGUEZ, Sonia Maria Troitiño","CAVALHEIRO, Marcos Ulisses",,,,,,,,,,Congresso Brasileiro de Arquivologia,2012
"RODRIGUEZ, Sonia Maria Troitiño","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"RODRIGUEZ, Sonia Maria Troitiño","BIZELLO, Maria Leandra","SOUZA, Solange",,,,,,,,,Congresso de Arquivologia do Mercosul,2011
"RODRIGUES, Nandia Leticia Freitas","JORENTE, Maria José Vicentini",,,,,,,,,,"Conferência sobre Tecnologia, Cultura e Memória",2015
"RODRIGUES, Fernando de Assis","AFFONSO, Elaine Parra","VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANT'ANA, Ricardo César Gonçalves",,,,,,,World Association for Public Opinion Research Annual Conference,2015
"REIS, Daniela Marjorie dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"REIS, Daniela Marjorie dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"REDÍGOLO, Franciele Marques","FUJITA, Mariângela Spotti Lopes","NEVES, Dulce Amélia de Brito",,,,,,,,,Encuentro Ibérico EDICIC,2015
"RAVAZI, Francisnaira Cristina","MOREIRA, Walter",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,"Seminário Hispânico-Brasileiro de Pesquisa em Informação, Documentação e Sociedade",2015
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,Encontro de Pesquisa em Informação e Mediação,2015
"PUPIM, Eliana Kátia","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"PRADO, Marcos Aparecido Rodrigues do","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"PINTO, Virginia Bentes","VIDOTTI, Silvana Aparecida Borsetti Gregorio","TABOSA, Hamilton Rodrigues",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"PAVANELLI, Maria Aparecida","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encuentro Ibérico EDICIC,2011
"PAVANELLI, Maria Aparecida","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encuentro Ibérico EDICIC,2013
"PAVANELLI, Maria Aparecida","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago","PRADO, Marcos Aparecido Rodrigues do","ALVES, Bruno Henrique",,,,,,,Congreso ISKO España y Portugal,2015
"PAULO, Rodrigo Barbosa de","CASARIN, Helen de Castro Silva","REDIGOLO, Franciele Marques",,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2015
"PADUA, Mariana Cantisani","JORENTE, Maria José Vicentini","NAKANO, Natalia",,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2015
"PADRÓN, Dunia Llanes","FUJITA, Mariângela Spotti Lopes","BASTOS, Flávia Maria",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"OLIVEIRA, João Augusto Dias Barreira e","JORENTE, Maria José Vicentini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"OLIVEIRA, João Augusto Dias Barreira e","JORENTE, Maria José Vicentini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"OLIVEIRA, João Augusto Dias Barreira e","JORENTE, Maria José Vicentini",,,,,,,,,,Congresso Internacional de Design da Informação (CIDI),2013
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio","PINTO, Virginia Bentes",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio","PINTO, Virginia Bentes",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"OLIVEIRA, Henry Poncio Cruz de","LIMA, Izabel França de","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago","ALVES, Bruno Henrique","DIAS, Suzana Maria Alves",,,,,,,,Encuentro Ibérico EDICIC,2013
"OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"NORTE, Mariângela Braga",,,,,,,,,,,Congresso Internacional TIC e Educação (ticEDUCA),2014
"NORTE, Mariângela Braga",,,,,,,,,,,Conferencia Internacional de Bibliotecología,2014
"NORTE, Mariângela Braga",,,,,,,,,,,Annual Conference on Distance Teaching & Learning,2012
"NORTE, Mariângela Braga",,,,,,,,,,,Seminário do Centro de Estudos Linguísticos e Literários do Paraná,2011
"NORTE, Mariângela Braga",,,,,,,,,,,Congresso Estadual Paulista sobre Formação de Educadores e Congresso Nacional de Formação de Professores,2011
"NORTE, Mariângela Braga",,,,,,,,,,,Congresso Internacional TIC e Educação (ticEDUCA),2012
"NICOLINO, Maria Elisa Valentim Pickler","FERNEDA, Edberto",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"NHACUONGUE, Januário Albino","FERNEDA, Edberto",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"NHACUONGUE, Januário Albino","FERNEDA, Edberto","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"NEVES, Dulce Amélia de Brito","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Congreso ISKO España y Portugal,2015
"NASCIMENTO, Natália Marinho do","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"NASCIMENTO, Natália Marinho do","MORO-CABERO, María Manuela","VALENTIM, Marta Lígia Pomim",,,,,,,,,Encontro de Pesquisa em Informação e Mediação,2015
"NAKANO, Natalia","PADUA, Mariana Cantisani","JORENTE, Maria José Vicentini",,,,,,,,,Congresso Internacional de Design da Informação (CIDI),2015
"NAKANO, Natalia","JORENTE, Maria José Vicentini",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"NAKANO, Natalia","JORENTE, Maria José Vicentini",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"NAKANO, Natalia","JORENTE, Maria José Vicentini","CALDAS, Rosângela Formentini",,,,,,,,,Processos de musealização: um Seminário de Investigação Internacional,2015
"MOTTA, Bruna Gisele","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"MOTTA, Bruna Gisele","BIZELLO, Maria Leandra",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2013
"MOREIRA, Walter",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação",2011
"MOREIRA, Walter","LARA, Marilda Lopes Ginez de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"MOREIRA, Walter","FUJITA, Mariângela Spotti Lopes","DAVANZO, Luciana","SANTOS, Luciana Beatriz Piovezan dos",,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2015
"MORAES, João Batista Ernesto de","SABBAG, Deise Maria Antonio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MOLINA, Letícia Gorri  ","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"MOLINA, Letícia Gorri  ","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"MOLINA, Letícia Gorri  ","VALENTIM, Marta Lígia Pomim",,,,,,,,,,"Conferência sobre Tecnologia, Cultura e Memória (CTCM)",2013
"MODESTO, Lisandro Rogério","FERNEDA, Edberto","SANT'ANA, Ricardo Cesar Gonçalves",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"MELO, Janaina França de","JORENTE, Maria José Vicentini",,,,,,,,,,"Encontro Regional de Estudantes de Biblioteconomia, Documentação, Gestão e Ciência da Informação (EREBD SUL SE CO)",2012
"MATA, Marta Leandro da","CASARIN, Helen de Castro Silva",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MARTINS, Rúbia","MORAES, João Batista Ernesto de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"MARTINS, Rúbia","MORAES, João Batista Ernesto de",,,,,,,,,,Congresso de Arquivologia do Mercosul,2011
"MARTINS, Rúbia","MORAES, João Batista Ernesto de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"MARTINS, Rúbia","MORAES, João Batista Ernesto de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"MARTÍNEZ-ÁVILA, Daniel","SMIRAGLIA, Richard",,,,,,,,,,North American Symposium on Knowledge Organization – NASKO,2013
"MARTINEZ-ÁVILA, Daniel","ALVES, Bruno Henrique","GUIMARÃES, José Augusto Chaves",,,,,,,,,ISKO UK -International Society for Knowledge Organization,2015
"MARSULO, Thabyta Giraldelli  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Congresso Brasileiro de Biblioteconomia e Documentação,2013
"MADIO, Telma Campanha de Carvalho",,,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2015
"MADIO, Telma Campanha de Carvalho",,,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2015
"MADIO, Telma Campanha de Carvalho","FARIAS, Aline Ribeiro de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"MADIO, Telma Campanha de Carvalho","VIANA, Gilberto Fladimar Rodrigues",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"MADIO, Telma Campanha de Carvalho","SILVA, Luiz Antônio Santana da",,,,,,,,,,Congresso Nacional de Arquivologia,2012
"MADIO, Telma Campanha de Carvalho","SILVA, Luiz Antônio Santana da",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MADIO, Telma Campanha de Carvalho","BIZELLO, Maria Leandra","MOREIRA, Walter","ALMEIDA, Carlos Cândido de","VALENTIM, Marta Lígia Pomim","FERNEDA, Edberto","RODRIGUEZ, Sonia Maria Troitiño","CASARIM, Helen de Castro Silva",,,,Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR,2012
"MADIO, Telma Campanha de Carvalho","MACHADO, Bruno Henrique",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"MADIO, Telma Campanha de Carvalho","MACHADO, Bruno Henrique",,,,,,,,,,Workshop de Pesquisa em Ciência da Informação (WPCI),2013
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,Congresso Nacional de Arquivologia,2012
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"MADIO, Telma Campanha de Carvalho","ALBUQUERQUE, Ana Cristina de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MADIO, Telma Campanha de Carvalho","ALBUQUERQUE, Ana Cristina de",,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2013
"MACHADO, Bruno Henrique","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"MACHADO, Bruno Henrique","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"MACHADO, Bruno Henrique","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2015
"LOUSADA, Mariana","VALENTIM, Marta Lígia Pomim","ALMEIDA JÚNIOR, Oswaldo Francisco de",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
