Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Workshop de Pesquisa em Informação e Mediação,2015
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Seminário de Competência em Informação: cenários e tendências,2014
"LEMOS, Joana Gusmão","JORENTE, Maria José Vicentini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"LEMOS, Joana Gusmão","JORENTE, Maria José Vicentini","FERNEDA, Edberto",,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"LEMOS, Joana Gusmão","JORENTE, Maria José Vicentini","FERNEDA, Edberto",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2014
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Seminário de Extensão Universitária da FFC - Marília,2011
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"LANZI, Lucirene Andréa Catini  ","SANTOS, Camila Araújo dos","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Conferência Internacional EUTIC,2014
"LANZI, Lucirene Andréa Catini","FERNEDA, Edberto",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2011
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Seminário em Ciência da Informação (SECIN),2011
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto","BORTOLIN, Sueli",,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"KAJIMOTO, Natacha","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Workshop de Pesquisa em Ciência da Informação (WPCI),2013
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"JORENTE, Maria José Vicentini",,,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"JORENTE, Maria José Vicentini",,,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2015
"JORENTE, Maria José Vicentini",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"JORENTE, Maria José Vicentini",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"JORENTE, Maria José Vicentini",,,,,,,,,,,International Conference on Electronic Publishing,2012
"JORENTE, Maria José Vicentini","SILVA, Anahi Rocha",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2013
"JORENTE, Maria José Vicentini","GONCALEZ, Paula Regina Ventura Amorim",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2013
"INAFUKO, Laura Akie Saito","FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio","MARSULO, Thabyta Giraldelli","SANTOS, Gabriel Oblasser dos",,,,,,,Seminário em Ciência da Informação (SECIN),2011
"HILÁRIO, Carla Mara","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"HALICKI, Jaqueline Pereira Carvalho","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de",,,,,,,,,,North American Symposium on Knowledge Organization – NASKO,2013
"GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis","CÂNDIDO, Gilberto Gomes","MOTTA, Bruna Gisele",,,,,,,,IFLA WLIC,2014
"GUIMARÃES, José Augusto Chaves","OCHOLLA, Dennis","OCHOLLA, Lyudmila","OLSON, Hope A.","GLOVER, Jeanette R.",,,,,,,IFLA WLIC,2012
"GUIMARÃES, José Augusto Chaves","MOREIRO GONZALES, José Antonio","ALENCAR, Maíra Fernandes",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"GUIMARÃES, José Augusto Chaves","MILANI, Suellen Oliveira",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"GUIMARÃES, José Augusto Chaves","FERNANDEZ-MOLINA, Juan Carlos","BARITÉ, Mário",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"GUIMARÃES, José Augusto Chaves","ARBOIT, Aline Elis",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini","FERNANDEZ-MOLINA, Juan Carlos",,,,,,,,Congreso ISKO España y Portugal,2011
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encuentro Ibérico EDICIC,2011
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"GRÁCIO, José Carlos Abbud","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encuentro Ibérico EDICIC,2011
"GRACIANO, Maítha Elena Tosta","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"GRACIANO, Maítha Elena Tosta","BIZELLO, Maria Leandra",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2013
"GONCALEZ, Paula Regina Ventura Amorim","JORENTE, Maria José Vicentini",,,,,,,,,,Encontro Nacional de Pesquisa e Tecnologia,2013
"GONCALEZ, Paula Regina Ventura Amorim","JORENTE, Maria José Vicentini",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"GONCALEZ, Paula Regina Ventura Amorim","JORENTE, Maria José Vicentini",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"GERÔNIMO, Michele Brasileiro","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"GERÔNIMO, Michele Brasileiro","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"GERÔNIMO, Michele Brasileiro","BIZELLO, Maria Leandra",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"GARCIA, Cristiane Luiza Salazar","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"GARCIA, Cristiane Luiza Salazar","VALENTIM, Marta Lígia Pomim","ALMEIDA JÚNIOR, Oswaldo Francisco de",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"GABRIEL JÚNIOR, Rene Faustino","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"GABRIEL JÚNIOR, Rene Faustino","ALVES, Bruno Henrique","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,Encuentro Ibérico EDICIC,2011
"FUSCO, Elvis","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"FUSCO, Elvis","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Congresso Internacional de Gestão da Tecnologia e Sistemas de Informação (CONTECSI),2011
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,International Conference on Qualitative and Quantitative Methods in Libraries,2011
"FUJITA, Mariângela Spotti Lopes","RUBI, Milena Polsineli",,,,,,,,,,Congreso ISKO España y Portugal,2015
"FUJITA, Mariângela Spotti Lopes","REDÍGOLO, Franciele Marques","MARTINHO, Noemi Oliveira","DAL´EVEDOVE, Paula Regina",,,,,,,,International Conference on Qualitative and Quantitative Methods in Libraries,2011
"FUJITA, Mariângela Spotti Lopes  ","LEAL, Antonio Cezar","OLIVEIRA, Maria Rita Marques de",,,,,,,,,Congreso Latinoamericano de Extensión Universitária,2015
"FUJITA, Mariângela Spotti Lopes","AGUSTIN LACRUZ, María del Carmen","GÓMEZ DIAZ, Raquel",,,,,,,,,Congreso Capítulo Español de ISKO,2012
"FUJITA, Mariângela Spotti Lopes","AGUSTIN LACRUZ, María del Carmen","GÓMEZ DIAZ, Raquel",,,,,,,,,Congreso Capítulo Español de ISKO,2011
"FREITAS, Juliana Lazzarotto","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,"Congreso Internacional Unión Latina de la Economía Política de la Información, la Comunicación y la Cultura (ULEPICC)",2015
"FERREIRA, Gustavo Meletti","MARTINS, Rúbia",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"FERREIRA, Gustavo Meletti","GUIMARÃES, José Augusto Chaves","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Encuentro Ibérico EDICIC,2011
"FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2013
"FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANT'ANA, Ricardo Cesar Gonçalves",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"FERREIRA, Ana Maria Jensen Ferreira da Costa","POTTKER, Luciana Maria Vieira","VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Encuentro Ibérico EDICIC,2015
"FERREIRA, Ana Maria Jensen Ferreira da Costa","LANZI, Lucirene Andréa Catini","MARSULO, Thabyta Giraldelli","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Conferência Internacional EUTIC,2014
"FERREIRA, Ana Maria Jensen Ferreira da Costa  ","CONEGLIAN, André Luís Onório","BRITO, Jean Fernandes","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Congresso de Extensão Universitária da UNESP,2015
"FERNEDA, Edberto","DIAS, Guilherme Ataíde",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"FARIAS, Mona Cleide Quirino da Silva","ALMEIDA, Carlos Cândido de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"EVANGELISTA, Isadora Victorino","GUIMARÃES, José Augusto Chaves","ALMEIDA, Carlos Cândido de",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"ELLIOTT, Ariluci Goes","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"DAVANZO, Luciana","MOREIRA, Walter",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"DANUELLO, Jane Coelho  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"DANUELLO, Jane Coelho  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"DAL´EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes",,,,,,,,,Encuentro Ibérico EDICIC,2015
"DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Congreso ISKO España y Portugal,2015
"DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"DAL´EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"CUSTÓDIO, Pollyana Agata Gomes da Rocha","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Encuentro Ibérico EDICIC,2011
"CUSTÓDIO, Pollyana Ágata Gomes da Rocha","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Jornada Pedagógica Plano Nacional de Educação,2012
"CUSTÓDIO, Pollyana Ágata Gomes da Rocha","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"CRIVELLI, Renato","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"CRIVELLI, Renato","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"COSTA, Mariana Bueno","CALDAS, Rosângela Formentini",,,,,,,,,,Encontro Nacional de História da Mídia,2015
"COELHO, Tatiane Martins","SANTOS, Camila Araújo dos","VALENTIM, Marta Lígia Pomim",,,,,,,,,Encontro de Pesquisa em Informação e Mediação,2015
"CIOCCA, Isabella Gelás","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"CERIGATTO, Mariana Pícaro","CASARIN, Helen de Castro Silva",,,,,,,,,,Congreso Internacional Multidisciplinario en Alfabetización Informativa,2014
"CERETTA SORIA, María Gladys","MIRANDA, Mirta","MANGIATERRA, Norma","SLEIMEN, Silvia","BARBER, Elsa","BERNAL CASTILLO, Abel Concepción","AYALA, Soledad","VALENTIM, Marta Lígia Pomim",,,,IFLA WLIC,2011
"CAVATTI SOBRINHO, Heliomar","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Congreso ISKO España y Portugal,2015
"CAVATTI SOBRINHO, Heliomar","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encuentro Internacional e Nacional de Catalogadores,2013
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e  Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Congresso Brasileiro de Biblioteconomia e Documentação,2011
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"CASARIN, Helen de Castro Silva",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"CASARIN, Helen de Castro Silva",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"CASARIN, Helen de Castro Silva","OLIVEIRA, Etiene Siqueira de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"CARVALHO, Ângela Maria Grossi de","JORENTE, Maria José Vicentini","SILVA, Deise Deolindo","MARSULO, Thabyta Giraldelli",,,,,,,,"Seminário Hispânico-Brasileiro de Pesquisa em Informação, Documentação e Sociedade e Seminário de Competência em Informação",2015
"CALDAS, Rosângela Formentini",,,,,,,,,,,IBIMA Conference,2011
"CALDAS, Rosângela Formentini",,,,,,,,,,,Encuentro Ibérico EDICIC,2013
"CALDAS, Rosângela Formentini",,,,,,,,,,,Congresso Internacional TIC e Educação (ticEDUCA),2012
"CALDAS, Rosângela Formentini",,,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"CALDAS, Rosângela Formentini","VIEIRA, Jorge Luiz Livino",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"CALDAS, Rosângela Formentini","SANTOS, Everton Alves dos",,,,,,,,,,Encuentro Ibérico EDICIC,2011
"CALDAS, Rosângela Formentini","RONCATO, Carolina Izidoro",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"CALDAS, Rosângela Formentini","PRADO, Maíra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"CALDAS, Rosângela Formentini","OLIVEIRA, Taynara Almeida de",,,,,,,,,,Congresso Internacional TIC e Educação (ticEDUCA),2014
"CALDAS, Rosângela Formentini","MACHADO, Larissa de Souza",,,,,,,,,,Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR,2012
"CALDAS, Rosângela Formentini","FERREIRA, Luan Henrique Giroto",,,,,,,,,,Encontro de Pesquisa em Informação e Mediação,2015
"CALDAS, Rosângela Formentini","FERREIRA, Luan Henrique Giroto"," OLIVEIRA, Taynara Almeida de","NASCIMENTO, Ana Carolina dos Santos",,,,,,,,Conferencia Internacional de Bibliotecología,2014
"CALDAS, Rosângela Formentini","CARLOS, Gisnai da Silva",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"BOCCATO, Vera Regina Casari","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,ISKO UK -International Society for Knowledge Organization,2011
"BOCCATO, Vera Regina Casari","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Congresso Brasileiro de Biblioteconomia e Documentação,2011
"BIZELLO, Maria Leandra",,,,,,,,,,,Seminário Internacional Cultura Material e Patrimônio de C&T,2014
"BIZELLO, Maria Leandra",,,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2013
"BIZELLO, Maria Leandra",,,,,,,,,,,Encuentro Ibérico EDICIC,2013
"BIZELLO, Maria Leandra",,,,,,,,,,,Encuentro Ibérico EDICIC,2015
"BERRÍO-ZAPATA, Cristian","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANT'ANA, Ricardo Cesar Gonçalves",,,,,,,,,Congreso WAPOR Latinoamérica - Organización Mundial de la Opinión Pública,2012
"BEAK, Jihee","GLOVER, Jeanette","MARTÍNEZ-ÁVILA, Daniel","MILANI, Suellen Oliveira",,,,,,,, iConference,2013
"BEAK, Jihee","GLOVER, Jeanette","MARTÍNEZ-ÁVILA, Daniel","MILANI, Suellen Oliveira",,,,,,,,North American Symposium on Knowledge Organization – NASKO,2013
"BASTOS, Flávia Maria","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"BASTOS, Flávia Maria","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"BARROS, Thiago Henrique Bragato","MORAES, João Batista Ernesto de",,,,,,,,,,North American Symposium on Knowledge Organization – NASKO,2011
"BARROS, Camila Monteiro de","CAFÉ, Lígia Maria Arruda","ALMEIDA, Carlos Cândido de",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"ASSUMPCAO, Fabrício Silva","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e  Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"ASSUMPCAO, Fabrício Silva","JORENTE, Maria José Vicentini","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,Congresso Brasileiro de Biblioteconomia e Documentação,2013
"ASSUMPCAO, Fabrício Silva","FERREIRA, Juliano Benedito","GRISOTO, Ana Paula","BASTOS, Flávia Maria","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,Congresso Brasileiro de Biblioteconomia e Documentação,2015
"ARROYO, Adolfo Alonso","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Encuentro Ibérico EDICIC,2013
"ARBOIT, Aline Elis","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago","GABRIEL JÚNIOR, Rene Faustino",,,,,,,,Congreso ISKO España y Portugal,2015
"ARAÚJO, Paula Carina de","FERNEDA, Edberto","GUIMARÃES, José Augusto Chaves",,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2015
"ARAUJO, Melânie Vargas de","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,Seminário de Pesquisa FESPSP,2015
"ALVES, Roberta Caroline Vesu","MOREIRA, Walter","MORAES, João Batista Ernesto de",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"ALVES, Rachel Cristina Vesu","SIMIONATO, Ana Carolina","ARAKAKI, Felipe Augusto","GONÇALEZ, Paula Regina Ventura Amorim","GRISOTO, Ana Paula","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,International Conference on Dublin Core and Metadata Applications (DCMI),2015
"ALVES, Rachel Cristina Vesu","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"ALVES, Rachel Cristina Vesu","SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e  Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"ALVES, Rachel Cristina Vesu","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e  Encontro de Estudos e Pesquisas em Catalogação (EEPC),2013
"ALVES, Bruno Henrique","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
